Code_CIS	Pathologie
60155788	Dépression
60156413	Hypertension artérielle
60158147	Arthrose du genou
60158147	Gonarthrose
60159128	Hypertension artérielle
60159128	Insuffisance cardiaque
60160479	Angine de poitrine
60160479	Angor
60160479	Insuffisance cardiaque
60160707	Anxiété
60160707	Dépression
60161143	Hypertension artérielle
60161143	Infarctus du myocarde
60161143	Insuffisance cardiaque
60165394	Anxiété
60165394	Epilepsie
60165857	Hypertension artérielle
60166980	Hypercholestérolémie
60166980	Hyperlipidémie
60168465	Hypertension artérielle
60168465	Infarctus du myocarde
60168465	Insuffisance cardiaque
60170046	Dysménorrhée
60170046	Règles douloureuses
60170224	Schizophrénie
60172339	Angine de poitrine
60172339	Angor
60173964	Mal des transports
60173964	Nausées et vomissements
60175716	Asthme
60175716	BPCO
60175716	Bronchopneumopathie chronique obstructive
60175972	Glaucome
60178609	Glaucome
60180720	Hypertension artérielle
60180720	Infarctus du myocarde
60180720	Insuffisance cardiaque
60181231	Hypertension artérielle
60181402	Hypotension artérielle
60182657	Phlébite
60182657	Thrombose veineuse
60184188	Epilepsie
60184590	Aspergillose
60185201	Hypertension artérielle
60185201	Infarctus du myocarde
60185201	Insuffisance cardiaque
60186552	Hypotension artérielle
60186584	Insomnie
60187348	Angine de poitrine
60187348	Angor
60187348	Hypertension artérielle
60187501	Hypercholestérolémie
60187501	Hyperlipidémie
60192594	Hypertension artérielle
60195010	Cystite
60195156	Syphilis
60196176	Cystite
60196176	Otite moyenne aiguë
60196176	Sinusite
60196945	Schizophrénie
60196977	Candidose buccale
60197011	Anxiété
60197011	Dépression
60200500	Maladie de Parkinson
60200678	Adénome bénin de la prostate
60200678	Hypertrophie bénigne de la prostate
60203418	Maladie de Parkinson
60203546	Anxiété
60203546	Epilepsie
60203795	Hypertension artérielle
60205159	Lupus
60205458	Coliques néphrétiques
60208251	Goutte
60208251	Hyperuricémie
60209531	Diabète
60209937	Schizophrénie
60210697	Carence en vitamine D
60210697	Ostéoporose
60210811	Hyperthyroïdie
60210811	Hypothyroïdie
60211183	Lupus
60211183	Maladie de Crohn
60211183	Polyarthrite rhumatoïde
60211183	Rectocolite hémorragique
60212424	Impétigo
60212424	Sinusite
60214350	Hypertension artérielle
60217108	Schizophrénie
60221042	Alopécie
60222137	Ostéoporose
60223278	Epilepsie
60224316	Lupus
60224437	Epilepsie
60226897	Alopécie
60226979	Schizophrénie
60231339	Reflux gastro-oesophagien
60231339	Ulcère duodénal
60231339	Ulcère gastrique
60231339	Ulcère gastro-duodénal
60232074	Constipation
60232359	Hypertension artérielle
60232359	Infarctus du myocarde
60232359	Insuffisance cardiaque
60234100	Dysménorrhée
60234100	Règles douloureuses
60234214	Anxiété
60234214	Dépression
60234221	Hypertension artérielle
60235330	BPCO
60235330	Bronchopneumopathie chronique obstructive
60235330	Maladie de Lyme
60235330	Otite moyenne aiguë
60235330	Syphilis
60236546	Angine de poitrine
60236546	Angor
60236546	Hypertension artérielle
60237790	Cystite
60237790	Sinusite
60237858	Hypotension artérielle
60238853	Ulcère duodénal
60238853	Ulcère gastrique
60238853	Ulcère gastro-duodénal
60239706	Vaginite
60241034	Psoriasis
60241874	Asthme
60247432	Anxiété
60247432	Dépression
60248000	Epilepsie
60249796	Schizophrénie
60250567	Polyarthrite rhumatoïde
60250567	Psoriasis
60251135	Hypercholestérolémie
60251135	Hyperlipidémie
60251516	Angine de poitrine
60251516	Angor
60252422	Dermatite atopique
60252422	Dermatite de contact
60252422	Eczéma atopique
60252422	Eczéma de contact
60252422	Lupus
60252447	Spasmophilie
60254754	Hyperthyroïdie
60254754	Hypothyroïdie
60254779	Hypercholestérolémie
60254779	Hyperlipidémie
60259242	Angine de poitrine
60259242	Angor
60260497	Schizophrénie
60260910	Asthme
60262879	Ostéoporose
60263461	Adénome bénin de la prostate
60263461	Hypertrophie bénigne de la prostate
60264410	Herpès labial
60264830	Extrasystoles
60264830	Hypertension artérielle
60265252	Schizophrénie
60265569	Acné
60265932	Hypercholestérolémie
60265932	Hyperlipidémie
60266144	Epilepsie
60267171	Maladie de Parkinson
60267506	Diabète
60268519	Asthme
60269037	Angine de poitrine
60269037	Angor
60270395	Hypertension artérielle
60270452	Hypercholestérolémie
60270452	Hyperlipidémie
60270712	Hypertension artérielle
60271045	Cystite
60271045	Maladie de Lyme
60271045	Otite externe aiguë
60271045	Sinusite
60271248	Anxiété
60271248	Dépression
60271248	Schizophrénie
60273765	Cystite
60274536	Onychomycose
60274618	Maladie de Parkinson
60277824	Asthme
60277824	BPCO
60277824	Bronchopneumopathie chronique obstructive
60279775	Epilepsie
60281598	Angine de poitrine
60281598	Angor
60281598	Extrasystoles
60281598	Hypertension artérielle
60282629	Enurésie
60282789	Hypertension artérielle
60282789	Infarctus du myocarde
60282789	Insuffisance cardiaque
60282846	Dysménorrhée
60282846	Règles douloureuses
60284377	Glaucome
60284516	Hypertension artérielle
60284516	Insuffisance cardiaque
60286296	Hypercholestérolémie
60286296	Hyperlipidémie
60286346	Impuissance masculine
60287277	Anxiété
60287277	Dépression
60288817	Reflux gastro-oesophagien
60288817	Ulcère duodénal
60288817	Ulcère gastrique
60288817	Ulcère gastro-duodénal
60290800	Alcoolisme
60290800	Anxiété
60292349	Psoriasis
60292573	Dysménorrhée
60292573	Migraine
60292573	Règles douloureuses
60293846	Constipation
60294713	Migraine
60295046	Constipation
60295320	Tabagisme
60300340	Diabète
60300408	Diarrhée
60302512	Hypercholestérolémie
60302512	Hyperlipidémie
60303404	Epilepsie
60303404	Migraine
60305960	Dysménorrhée
60305960	Règles douloureuses
60307032	Pityriasis versicolor
60311269	Herpès génital
60311269	Herpès labial
60311269	Herpès oculaire
60311269	Zona ophtalmique
60311803	Herpès génital
60314183	Hypercholestérolémie
60314183	Hyperlipidémie
60316362	Dépression
60316818	Reflux gastro-oesophagien
60316818	Ulcère duodénal
60316818	Ulcère gastrique
60316818	Ulcère gastro-duodénal
60319789	Angine de poitrine
60319789	Angor
60319789	Hypertension artérielle
60320656	Hyperthyroïdie
60320656	Hypothyroïdie
60322461	Anxiété
60322461	Urticaire
60323481	Epilepsie
60323969	Hypertension artérielle
60323969	Insuffisance cardiaque
60324658	Constipation
60326538	Cystite
60326538	Prostatite
60326538	Sinusite
60327056	Vertiges de Ménière
60327266	Hypertension artérielle
60329242	Glaucome
60329609	Diarrhée
60330522	Polyarthrite rhumatoïde
60330586	Impétigo
60330700	Reflux gastro-oesophagien
60331738	Diabète
60332103	Ostéoporose
60335291	Ostéoporose
60337328	Diabète
60337762	Hypertension artérielle
60337762	Insuffisance cardiaque
60338857	Dépression
60339254	Hypercholestérolémie
60339254	Hyperlipidémie
60342439	Hypertension artérielle
60344066	Epilepsie
60347710	Pityriasis versicolor
60349519	Acné
60349519	Syphilis
60351986	Alcoolisme
60351986	Anxiété
60352006	Hypertension artérielle
60353108	Polyarthrite juvénile
60353108	Polyarthrite rhumatoïde
60353108	Psoriasis
60355600	Diabète
60355931	Epilepsie
60357359	Reflux gastro-oesophagien
60360864	Psoriasis
60362210	Aspergillose
60363967	BPCO
60363967	Bronchopneumopathie chronique obstructive
60364161	Hypertension artérielle
60365142	Ostéoporose
60366319	Cystite
60366319	Maladie de Lyme
60366319	Otite moyenne aiguë
60366319	Sinusite
60366689	Hypercholestérolémie
60366689	Hyperlipidémie
60367022	Angine de poitrine
60367022	Angor
60367022	Hypertension artérielle
60370919	Alcoolisme
60371120	Reflux gastro-oesophagien
60371679	Hypercholestérolémie
60371679	Hyperlipidémie
60371992	Maladie de Parkinson
60372197	Hypertension artérielle
60372197	Infarctus du myocarde
60372197	Insuffisance cardiaque
60372215	Nausées et vomissements
60375058	Cystite
60375058	Maladie de Lyme
60375058	Otite moyenne aiguë
60375058	Sinusite
60375880	Hypertension artérielle
60375880	Infarctus du myocarde
60375880	Insuffisance cardiaque
60375930	Hypertension artérielle
60376815	Adénome bénin de la prostate
60376815	Hypertrophie bénigne de la prostate
60377116	Polyarthrite rhumatoïde
60377803	Alcoolisme
60377803	Anxiété
60379544	Maladie de Parkinson
60382608	Rectocolite hémorragique
60385789	Angine de poitrine
60385789	Angor
60385789	Embolie pulmonaire
60385789	Infarctus du myocarde
60385789	Phlébite
60385789	Thrombose veineuse
60386414	Hépatite A
60386859	Hypertension artérielle
60390455	Polyarthrite rhumatoïde
60390455	Psoriasis
60393661	Embolie pulmonaire
60393661	Phlébite
60393661	Thrombose veineuse
60396928	Glaucome
60398167	Anxiété
60398167	Dépression
60398441	Pityriasis versicolor
60399454	Ostéoporose
60399956	Coliques néphrétiques
60399956	Dysménorrhée
60399956	Règles douloureuses
60401745	Tabagisme
60403714	BPCO
60403714	Bronchopneumopathie chronique obstructive
60403714	Cystite
60403714	Otite moyenne aiguë
60403714	Sinusite
60404531	Hypertension artérielle
60413509	Hypertension artérielle
60413509	Infarctus du myocarde
60413509	Insuffisance cardiaque
60415442	Impuissance masculine
60418673	Herpès génital
60418673	Herpès labial
60418673	Herpès oculaire
60418716	Psoriasis
60423446	Diabète
60424338	Cystite
60424338	Maladie de Lyme
60424338	Otite moyenne aiguë
60424338	Sinusite
60425707	Rhinite allergique
60427163	Hypertension artérielle
60427163	Infarctus du myocarde
60427163	Insuffisance cardiaque
60429851	Adénome bénin de la prostate
60429851	Hypertrophie bénigne de la prostate
60430095	Dépression
60433344	Impuissance masculine
60434834	Migraine
60435263	Migraine
60437428	Hypertension artérielle
60437428	Insuffisance cardiaque
60439087	Angine de poitrine
60439087	Angor
60439525	Dépression
60441558	Hyperthyroïdie
60441558	Hypothyroïdie
60442838	Tabagisme
60442980	Dysménorrhée
60442980	Règles douloureuses
60443477	Hypertension artérielle
60443477	Insuffisance cardiaque
60443609	Adénome bénin de la prostate
60443609	Hypertrophie bénigne de la prostate
60443801	Reflux gastro-oesophagien
60443801	Ulcère duodénal
60443801	Ulcère gastrique
60443801	Ulcère gastro-duodénal
60445204	Hémorroïdes
60448702	Dépression
60449672	Reflux gastro-oesophagien
60449672	Ulcère duodénal
60449672	Ulcère gastrique
60449672	Ulcère gastro-duodénal
60450831	Sinusite
60450831	Toxoplasmose
60451456	Angine de poitrine
60451456	Angor
60451456	Embolie pulmonaire
60451456	Infarctus du myocarde
60451456	Phlébite
60451456	Thrombose veineuse
60451762	Schizophrénie
60453197	Cystite
60453197	Maladie de Lyme
60453197	Otite moyenne aiguë
60453197	Sinusite
60453382	Hypertension artérielle
60454662	Reflux gastro-oesophagien
60454662	Ulcère duodénal
60454662	Ulcère gastrique
60454662	Ulcère gastro-duodénal
60455586	Hypertension artérielle
60455789	Polyarthrite rhumatoïde
60455789	Psoriasis
60456154	Schizophrénie
60456535	Mal des transports
60456948	Hypertension artérielle
60457719	Anxiété
60457719	Dépression
60457822	Schizophrénie
60460996	Hyperthyroïdie
60460996	Hypothyroïdie
60462513	Migraine
60462538	Constipation
60463871	Angine de poitrine
60463871	Angor
60464076	Hypertension artérielle
60464076	Insuffisance cardiaque
60464222	Diabète
60468092	Asthme
60468320	Dermatite atopique
60468320	Eczéma atopique
60468320	Psoriasis
60470499	Goutte
60470499	Hyperuricémie
60470990	Angine de poitrine
60470990	Angor
60470990	Infarctus du myocarde
60470990	Phlébite
60470990	Thrombose veineuse
60472849	Maladie de Parkinson
